name,prompt,negative_prompt
60,"a fashionable asian woman is standing in a park at night,with a ship in the background.detailed face,<lora:Japanese-doll-likeness:0.2>",
480/60,"a fashionable asian woman is standing in a park at night,with a ship in the background.detailed face,<lora:Japanese-doll-likeness:0.2>",
001 s g,"20s,japanese,oiled body,skinny,small ass,small tits,sorority girl,tanned skin,mid-length hair, nude reinforcement,vagina reinforcement,ultra-hd,sexy quality,high-quality render,full-body view,spread legs,<lora:japaneseDollLikeness_v10:0.7>","(worst quality:2), (low quality:2), (normal quality:2), lowres, normal quality, ((monochrome)), ((grayscale)), skin spots, veins, acnes, skin blemishes, age spot, glan, extra fingers, fewer fingers, strange fingers, bad hand, bad anatomy, fused fingers, missing leg, mutated hand, malformed limbs, missing feet, (toe:1.5), (sandals:1.5), (curtain), skin spots"
002 s g 6-age,"6years old,pupils girl,japanese,oiled body,skinny,small ass,small tits,tanned skin,mid-length hair, nude reinforcement,vagina reinforcement,ultra-hd,sexy quality,high-quality render,full-body view,spread legs,","(worst quality:2), (low quality:2), (normal quality:2), lowres, normal quality, ((monochrome)), ((grayscale)), skin spots, veins, acnes, skin blemishes, age spot, glan, extra fingers, fewer fingers, strange fingers, bad hand, bad anatomy, fused fingers, missing leg, mutated hand, malformed limbs, missing feet, (toe:1.5), (sandals:1.5), (curtain), skin spots"
003 s g 6-age no m,"6years old,pupils girl,japanese,oiled body,skinny,small ass,small tits,tanned skin,mid-length hair, nude reinforcement,vagina reinforcement,ultra-hd,sexy quality,high-quality render,full-body view,spread legs,","(worst quality:2), (low quality:2), (normal quality:2), lowres, normal quality, ((monochrome)), ((grayscale)), skin spots, veins, acnes, skin blemishes, age spot, glan, extra fingers, fewer fingers, strange fingers, bad hand, bad anatomy, fused fingers, missing leg, mutated hand, malformed limbs, missing feet, (toe:1.5), (sandals:1.5), (curtain), skin spots,penis"
004 s x 6-age final,"6 years old,kindergarten girl,japanese,oiled body,skinny,small ass,small tits,tanned skin,mid-length hair, nude reinforcement,vagina reinforcement,ultra-hd,sexy quality,high-quality render,full-body view,very short body,","(worst quality:2), (low quality:2), (normal quality:2), lowres, normal quality, ((monochrome)), ((grayscale)), skin spots, veins, acnes, skin blemishes, age spot, glan, extra fingers, fewer fingers, strange fingers, bad hand, bad anatomy, fused fingers, missing leg, mutated hand, malformed limbs, missing feet, (toe:1.5), (sandals:1.5), (curtain), skin spots,penis"
004 s x 6-age final 2,"6 years old,kindergarten girl,japanese,oiled body,skinny,small ass,small tits,tanned skin,mid-length hair, nude reinforcement,vagina reinforcement,ultra-hd,sexy quality,high-quality render,full-body view,very short body,spread legs","(worst quality:2), (low quality:2), (normal quality:2), lowres, normal quality, ((monochrome)), ((grayscale)), skin spots, veins, acnes, skin blemishes, age spot, glan, extra fingers, fewer fingers, strange fingers, bad hand, bad anatomy, fused fingers, missing leg, mutated hand, malformed limbs, missing feet, (toe:1.5), (sandals:1.5), (curtain), skin spots,penis"
004 s x 6-age final 3,"6 years old,kindergarten girl,japanese,oiled body,skinny,small ass,small tits,tanned skin,mid-length hair, nude reinforcement,vagina reinforcement,ultra-hd,sexy quality,high-quality render,full-body view,very short body,front view","(worst quality:2), (low quality:2), (normal quality:2), lowres, normal quality, ((monochrome)), ((grayscale)), skin spots, veins, acnes, skin blemishes, age spot, glan, extra fingers, fewer fingers, strange fingers, bad hand, bad anatomy, fused fingers, missing leg, mutated hand, malformed limbs, missing feet, (toe:1.5), (sandals:1.5), (curtain), skin spots,penis"
004 s x 6-age final 4,"6 years old,kindergarten girl,japanese,oiled body,skinny,small ass,small tits,tanned skin,mid-length hair, nude reinforcement,vagina reinforcement,ultra-hd,sexy quality,high-quality render,very short body,show me vagina,front view,sit down on the floor,spread legs","(worst quality:2), (low quality:2), (normal quality:2), lowres, normal quality, ((monochrome)), ((grayscale)), skin spots, veins, acnes, skin blemishes,extra limb, age spot, glan, extra fingers, fewer fingers, strange fingers, bad hand, bad anatomy, fused fingers, missing leg, mutated hand, malformed limbs,blurry, missing feet, (toe:1.5), (sandals:1.5), (curtain), skin spots,fat,disfigured,poorly drawn face,bad proportions, "
005,"1girl,fairer skin,straight hair,beautiful,lips,(eyes_closed:1.5),female_focus, female orgasm,photo, photo_inset,realistic, nude, gender bender,solo,shoulder length hair,sexy quality,skinny,extremely detailed, ultra-hd, UHD, 1080, 4K,","(worst quality:2), (low quality:2), (normal quality:2), lowres, normal quality, ((monochrome)), ((grayscale)), skin spots, veins, acnes, skin blemishes,extra limb, age spot, glan, extra fingers, fewer fingers, strange fingers, bad hand, bad anatomy, fused fingers, missing leg, mutated hand, malformed limbs,blurry, missing feet, (toe:1.5), (sandals:1.5), (curtain), skin spots,penis,fat,disfigured,poorly drawn face,bad proportions"
006,"6 years old,kindergarten girl,japanese,oiled body,skinny,small ass,small tits,tanned skin,mid-length hair,full-body view,nude reinforcement,vagina reinforcement,ultra-hd,sexy quality,high-quality render,very short body,show me vagina,face to me,sit down on the floor,spread legs","(worst quality:2), (low quality:2), (normal quality:2), lowres, normal quality, ((monochrome)), ((grayscale)), skin spots, veins, acnes, skin blemishes,extra limb, age spot, glan, extra fingers, fewer fingers, strange fingers, bad hand, bad anatomy, fused fingers, missing leg, mutated hand, malformed limbs,blurry, missing feet, (toe:1.5), (sandals:1.5), (curtain), skin spots,fat,disfigured,poorly drawn face,bad proportions,"
人像練蠱1(僅蒙版）,"1girl,<lora:cswpfv2:1>,masterpiece,best quality,","EasyNegative,(low quality:2),(normal quality:2),lowers,((monochrome)),((grayscale)),skin spots,acnes,skin blemishes,age spot,watermark,(mole:1.5),"
人像煉蠱2,"1girl,<lora:v1v2-46:1>,masterpiece,extremely detailed,best quality,","EasyNegative,(low quality:2),(normal quality:2),lowers,((monochrome)),((grayscale)),skin spots,acnes,skin blemishes,age spot,watermark,(mole:1.5),animated,cartoon,deformed,"
主角光環1-步數60,"1girl,full body,<lora:cswpfv4nsfw:0.6>,","EasyNegative,(mole:1.5),watermark,age spot,missing limbs,animated,cartoon,deformed,skin blemishes,acnes,skin spots,((grayscale)),((monochrome)),normal quality,lowers,(normal quality:2),(low quality:2),"
主角光環2-（60步）,"1girl,full body,long hair,<lora:cswpfv4nsfw:0.7>,","EasyNegative,(mole:1.5),watermark,age spot,missing limbs,animated,cartoon,deformed,skin blemishes,acnes,skin spots,((grayscale)),((monochrome)),normal quality,lowers,(normal quality:2),(low quality:2),"
主角光環3-最佳,"1girl,full body,long hair,<lora:cswpfv4nsfw:0.5>,","EasyNegative,(mole:1.5),watermark,age spot,missing limbs,animated,cartoon,deformed,skin blemishes,acnes,skin spots,((grayscale)),((monochrome)),normal quality,lowers,(normal quality:2),(low quality:2),"
頭髮重繪-0.55，填充，覆蓋額頭,"1girl,nude,long hair,black hair,bangs,erotica,masterpiece,(best quality:1.2),(photorealistic:1.2),(extremely detailed:1.2),<lora:hair:0.5>,","EasyNegative,normal quality,lowers,(low quality:2),"
face-upper-0.8-1,"1girl,(upper_body:1.2),masterpiece,(best quality:1.1),<lora:face:0.8>,","EasyNegative,(low quality:2),(normal quality:2),lowers,((monochrome)),((grayscale)),skin spots,acnes,skin blemishes,age spot,watermark,(mole:1.5),"
face-0.9-goodresult,"body,<lora:face:0.9>,","EasyNegative,(low quality:2),(normal quality:2),lowers,((monochrome)),((grayscale)),skin spots,acnes,skin blemishes,age spot,watermark,(mole:1.5),"
cswpf-v8-inpaint-拉好拉滿,"1girl,solo,standing,nude,full_shot,<lora:cswpfv8:1>,","EasyNegative,(low quality:2),(normal quality:2),lowers,((monochrome)),((grayscale)),skin spots,acnes,skin blemishes,age spot,watermark,(mole:1.5),"
cswpf-v8-inpiant-0.9,"1girl,solo,standing,nude,full_shot,<lora:cswpfv8:1>,","EasyNegative,(low quality:2),(normal quality:2),lowers,((monochrome)),((grayscale)),skin spots,acnes,skin blemishes,age spot,watermark,(mole:1.5),"
蝴蝶坐,"butterfly sitting,<lora:butterfly_sitting:1>,masterpiece,best quality,","EasyNegative,"
123,"a photo of cswpf girl,long brown hair,smile,","EasyNegative,"
